Time (s), Activation By Channel (% of MVC)
204.330000, 1.239070E-2, 4.953495E-3
204.331000, 1.095041E-2, 3.431060E-3
204.332000, 1.873328E-2, 6.495854E-3
204.333000, 2.416873E-3, 3.941837E-3
204.334000, 1.764614E-4, 2.613000E-3
204.335000, 5.044675E-2, 1.510303E-3
, , 
204.336000, 1.274398E-1, 6.107566E-4
204.337000, 1.245037E-1, 1.074302E-4
204.338000, 7.222232E-2, 6.648372E-4
204.339000, 2.993488E-1, 9.731890E-3
204.340000, 3.552206E-1, 1.466316E-3
204.341000, 1.019098E-1, 8.045131E-4
204.342000, 3.445483E-2, 2.812651E-4
204.343000, 1.463401E-2, 1.205168E-4
204.344000, 4.156454E-3, 4.167358E-4
204.345000, 5.373618E-2, 9.273183E-3
204.346000, 4.523974E-2, 6.561444E-3
204.347000, 4.710955E-2, 4.390745E-3
204.348000, 1.292328E-2, 5.173067E-3
204.349000, 4.082976E-2, 3.109445E-3
204.350000, 6.013745E-2, 7.251962E-3
204.351000, 7.217703E-2, 5.803739E-3
204.352000, 6.950194E-2, 4.105842E-3
204.353000, 9.933169E-2, 6.299675E-3
204.354000, 5.012072E-3, 4.896271E-3
204.355000, 2.288182E-3, 3.683417E-3
204.356000, 3.409233E-2, 6.006478E-3
204.357000, 7.561691E-2, 4.603928E-3
204.358000, 1.477672E-2, 5.259659E-3
204.359000, 2.198933E-2, 5.195979E-3
204.360000, 3.977409E-2, 3.846600E-3
204.361000, 8.364809E-3, 2.691341E-3
204.362000, 1.217408E-2, 6.937815E-3
204.363000, 3.250159E-2, 3.735967E-3
204.364000, 2.044289E-2, 2.588890E-3
204.365000, 5.805201E-3, 1.620521E-3
204.366000, 1.509672E-2, 7.836733E-3
204.367000, 2.294749E-2, 2.994395E-3
204.368000, 1.542471E-2, 1.990553E-3
, , 
204.369000, 3.598237E-2, 7.499289E-3
204.370000, 3.243715E-2, 3.301873E-3
204.371000, 2.911186E-3, 2.270438E-3
204.372000, 7.469244E-4, 7.244846E-3
204.373000, 1.158063E-2, 3.532821E-3
204.374000, 4.435953E-2, 2.479657E-3
204.375000, 5.666886E-2, 7.055751E-3
