t0,5/2/2017  11:03:14.356096
delta t,0.001000

time,Y
5/2/2017  11:03:18.444096,10.417284
5/2/2017  11:03:18.445096,10.417284
5/2/2017  11:03:18.446096,10.416966
5/2/2017  11:03:18.447096,10.416966
5/2/2017  11:03:18.448096,10.416966
5/2/2017  11:03:18.449096,10.417284
5/2/2017  11:03:18.450096,10.416966
5/2/2017  11:03:18.451096,10.416966
5/2/2017  11:03:18.452096,10.416966
5/2/2017  11:03:18.453096,10.417284
5/2/2017  11:03:18.454096,10.417284
5/2/2017  11:03:18.455096,10.416966
5/2/2017  11:03:18.456096,10.417284
5/2/2017  11:03:18.457096,10.417284
5/2/2017  11:03:18.458096,10.416966
5/2/2017  11:03:18.459096,10.416966
5/2/2017  11:03:18.460096,10.417284
5/2/2017  11:03:18.461096,10.416966
5/2/2017  11:03:18.462096,10.417284
5/2/2017  11:03:18.463096,10.417284
5/2/2017  11:03:18.464096,10.417284
5/2/2017  11:03:18.465096,10.416966
5/2/2017  11:03:18.466096,10.416966
5/2/2017  11:03:18.467096,10.416966
5/2/2017  11:03:18.468096,10.416966
5/2/2017  11:03:18.469096,10.417284
5/2/2017  11:03:18.470096,10.417284
5/2/2017  11:03:18.471096,10.416966
5/2/2017  11:03:18.472096,10.416966
5/2/2017  11:03:18.473096,10.416966
5/2/2017  11:03:18.474096,10.417284
5/2/2017  11:03:18.475096,10.416966
5/2/2017  11:03:18.476096,10.417284
5/2/2017  11:03:18.477096,10.417284
5/2/2017  11:03:18.478096,10.417284
5/2/2017  11:03:18.479096,10.417284
5/2/2017  11:03:18.480096,10.416966
5/2/2017  11:03:18.481096,10.416966
5/2/2017  11:03:18.482096,10.417284
5/2/2017  11:03:18.483096,10.416966
5/2/2017  11:03:18.484096,10.416966
5/2/2017  11:03:18.485096,10.416966
5/2/2017  11:03:18.486096,10.416966
5/2/2017  11:03:18.487096,10.416966
5/2/2017  11:03:18.488096,10.417284
5/2/2017  11:03:18.489096,10.417284
5/2/2017  11:03:18.490096,10.417284
5/2/2017  11:03:18.491096,10.417284
5/2/2017  11:03:18.492096,10.417284
5/2/2017  11:03:18.493096,10.417284
5/2/2017  11:03:18.494096,10.417284
